E,W -17V,S -17V
0.25,0.03621,0.5693
0.5,0.02873,0.5965
0.75,0.02523,0.6066
1,0.02507,0.613
1.25,0.02509,0.6117
1.5,0.02699,0.6061
1.75,0.02971,0.5993
2,0.03564,0.5894
2.25,0.03585,0.5782
2.5,0.03908,0.5706
2.75,0.04164,0.5664
3,0.0431,0.563
3.25,0.04486,0.5591
3.5,0.04373,0.5572
3.75,0.04319,0.5594
4,0.04296,0.5603
4.25,0.04102,0.5603
4.5,0.04066,0.5637
4.75,0.04006,0.5597
5,0.03871,0.5658
5.25,0.03701,0.5702
5.5001,0.03737,0.5657
5.7501,0.03543,0.5691
6.0001,0.03461,0.5686
6.2501,0.03535,0.5674
6.5001,0.03343,0.5732
6.7501,0.03194,0.5738
7.0001,0.03174,0.5778
7.2501,0.03246,0.5727
7.5001,0.03108,0.5795
7.7501,0.03043,0.5767
8.0001,0.03086,0.5772
8.2501,0.02966,0.581
8.5001,0.02848,0.5793
8.7501,0.02873,0.5792
9.0001,0.02991,0.5791
9.2502,0.02869,0.5773
9.5002,0.02849,0.581
9.7502,0.02746,0.5831
10.0002,0.02718,0.5878
10.2502,0.0283,0.5807
10.5002,0.02862,0.5825
10.7502,0.02848,0.5801
11.0002,0.0275,0.5827
11.2502,0.02807,0.5825
11.5002,0.02784,0.5815
11.7503,0.02689,0.5824
12.0003,0.02735,0.5842
12.2503,0.02879,0.5824
12.5003,0.02755,0.5851
12.7503,0.02572,0.5861
13.0003,0.02893,0.5871
13.2503,0.02641,0.586
13.5003,0.02624,0.5866
13.7504,0.02701,0.5837
14.0004,0.02571,0.5834
14.2504,0.02764,0.5832
14.5004,0.028,0.583
14.7504,0.02772,0.5849
15.0004,0.02576,0.5862
15.5,0.02664,0.5859
16,0.0257,0.5854
16.5,0.0271,0.5873
17,0.02563,0.5863
17.5,0.02492,0.5887
18,0.02622,0.5851
18.5,0.02634,0.5867
19,0.02698,0.5818
19.5,0.0254,0.5924
20,0.02504,0.5854
20.5,0.02541,0.5866
21,0.02524,0.5865
21.5,0.02689,0.5863
22,0.02565,0.5837
22.5,0.02472,0.5838
23.0001,0.02734,0.5817
23.5001,0.02707,0.5813
24.0001,0.02706,0.5805
